Num_Civico;strada;cap;sobborgo
3;660;38122;Trento
3;660;38122;Trento
2;770;38123;Trento
6;980;38122;Trento
7;980;38122;Trento
3;1040;38122;Trento
5;1040;38122;Trento
7;1040;38122;Trento
4;1710;38122;Trento
5;1710;38122;Trento
6;1710;38122;Trento
7;1710;38122;Trento
8;1710;38122;Trento
21;1890;38122;Trento
26;2120;38122;Trento
7;2140;38122;Trento
9;2140;38122;Trento
25;2640;38122;Trento
5;5790;38121;Gardolo
8;7080;38123;Trento
36;7350;38123;Povo
6;7355;38123;Povo
6;7355;38123;Povo
7;7355;38123;Povo
3;7385;38123;Povo
24;7390;38123;Povo
6;7425;38123;Povo
1;7480;38123;Povo
59;8018;38123;Sopramonte
1;8055;38123;Sopramonte
52;8066;38123;Sopramonte
33;8122;38123;Cadine
12;8136;38123;Cadine
55;8414;38121;Meano
5;8467;38121;Meano
1;8512;38121;Meano
77;8750;38123;Ravina
13;8770;38123;Ravina
17-feb;8780;38123;Ravina
46;8940;38123;Romagnano
2;10;38122;Trento
02-gen;10;38122;Trento
4;10;38122;Trento
04-gen;10;38122;Trento
04-feb;10;38122;Trento
04-mar;10;38122;Trento
6;10;38122;Trento
7;10;38122;Trento
8;10;38122;Trento
8;10;38122;Trento
8;10;38122;Trento
10;10;38122;Trento
10;10;38122;Trento
10;10;38122;Trento
10;10;38122;Trento
11;10;38122;Trento
11;10;38122;Trento
11;10;38122;Trento
12;10;38122;Trento
12;10;38122;Trento
13;10;38122;Trento
13;10;38122;Trento
14;10;38122;Trento
14;10;38122;Trento
1;20;38121;Trento
2;20;38121;Trento
2;20;38121;Trento
3;20;38121;Trento
5;20;38121;Trento
7;20;38121;Trento
9;20;38121;Trento
9;20;38121;Trento
13;20;38121;Trento
13;20;38121;Trento
13-gen;20;38121;Trento
15;20;38121;Trento
15;20;38121;Trento
17;20;38121;Trento
19;20;38121;Trento
21;20;38121;Trento
23;20;38121;Trento
25;20;38121;Trento
25;20;38121;Trento
27;20;38121;Trento
29;20;38121;Trento
31;20;38121;Trento
33;20;38121;Trento
33;20;38121;Trento
35;20;38121;Trento
35/A;20;38121;Trento
35/B;20;38121;Trento
37;20;38121;Trento
37/A;20;38121;Trento
39;20;38121;Trento
39;20;38121;Trento
41;20;38121;Trento
43;20;38121;Trento
45;20;38121;Trento
47;20;38121;Trento
49;20;38121;Trento
1;30;38122;Trento
2;30;38122;Trento
3;30;38122;Trento
5;30;38122;Trento
6;30;38122;Trento
7;30;38122;Trento
9;30;38122;Trento
11;30;38122;Trento
13;30;38122;Trento
15;30;38122;Trento
17;30;38122;Trento
19;30;38122;Trento
21;30;38122;Trento
23;30;38122;Trento
25;30;38122;Trento
1;40;38122;Trento
1;40;38122;Trento
1;40;38122;Trento
1/A;40;38122;Trento
1/A;40;38122;Trento
1/B;40;38122;Trento
1/B;40;38122;Trento
1/B;40;38122;Trento
2;40;38122;Trento
3;40;38122;Trento
3;40;38122;Trento
4;40;38122;Trento
4;40;38122;Trento
4;40;38122;Trento
5;40;38122;Trento
5;40;38122;Trento
6;40;38122;Trento
6;40;38122;Trento
7;40;38122;Trento
7;40;38122;Trento
7/A;40;38122;Trento
7/A;40;38122;Trento
8;40;38122;Trento
8;40;38122;Trento
9;40;38122;Trento
9;40;38122;Trento
10;40;38122;Trento
10;40;38122;Trento
11;40;38122;Trento
11;40;38122;Trento
11;40;38122;Trento
12;40;38122;Trento
12;40;38122;Trento
13;40;38122;Trento
13;40;38122;Trento
15;40;38122;Trento
15;40;38122;Trento
15;40;38122;Trento
17;40;38122;Trento
17;40;38122;Trento
17/A;40;38122;Trento
18;40;38122;Trento
20;40;38122;Trento
22;40;38122;Trento
24;40;38122;Trento
24;40;38122;Trento
28;40;38122;Trento
28;40;38122;Trento
28;40;38122;Trento
30;40;38122;Trento
30;40;38122;Trento
30;40;38122;Trento
32;40;38122;Trento
34;40;38122;Trento
34;40;38122;Trento
36;40;38122;Trento
38;40;38122;Trento
38;40;38122;Trento
40;40;38122;Trento
42;40;38122;Trento
42;40;38122;Trento
44;40;38122;Trento
46;40;38122;Trento
48;40;38122;Trento
1;50;38122;Trento
2;50;38122;Trento
3;50;38122;Trento
4;50;38122;Trento
5;50;38122;Trento
6;50;38122;Trento
6;50;38122;Trento
06-gen;50;38122;Trento
7;50;38122;Trento
7;50;38122;Trento
8;50;38122;Trento
9;50;38122;Trento
10;50;38122;Trento
11;50;38122;Trento
12;50;38122;Trento
13;50;38122;Trento
14;50;38122;Trento
1;60;38122;Trento
2;60;38122;Trento
3;60;38122;Trento
4;60;38122;Trento
5;60;38122;Trento
6;60;38122;Trento
6;60;38122;Trento
7;60;38122;Trento
8;60;38122;Trento
9;60;38122;Trento
10;60;38122;Trento
11;60;38122;Trento
12;60;38122;Trento
13;60;38122;Trento
14;60;38122;Trento
15;60;38122;Trento
16;60;38122;Trento
16;60;38122;Trento
16;60;38122;Trento
17;60;38122;Trento
18;60;38122;Trento
19;60;38122;Trento
21;60;38122;Trento
23;60;38122;Trento
25;60;38122;Trento
25;60;38122;Trento
27;60;38122;Trento
29;60;38122;Trento
31;60;38122;Trento
31;60;38122;Trento
31;60;38122;Trento
31;60;38122;Trento
3;70;38122;Trento
4;70;38122;Trento
5;70;38122;Trento
1;80;38122;Trento
4;80;38122;Trento
5;80;38122;Trento
6;90;38122;Trento
9;90;38122;Trento
11;90;38122;Trento
13;90;38122;Trento
1;100;38121;Trento
2;100;38121;Trento
3;100;38121;Trento
4;100;38121;Trento
5;100;38121;Trento
6;100;38121;Trento
7;100;38121;Trento
8;100;38121;Trento
9;100;38121;Trento
11-gen;100;38121;Trento
11-feb;100;38121;Trento
11-apr;100;38121;Trento
11-mag;100;38121;Trento
11-giu;100;38121;Trento
11-lug;100;38121;Trento
13;100;38121;Trento
14;100;38121;Trento
15/A;100;38121;Trento
15/A;100;38121;Trento
15/B;100;38121;Trento
15/C;100;38121;Trento
15/D;100;38121;Trento
15/E;100;38121;Trento
15/F;100;38121;Trento
15/G;100;38121;Trento
15/H;100;38121;Trento
15/I;100;38121;Trento
15/L;100;38121;Trento
15/M;100;38121;Trento
15/N;100;38121;Trento
16;100;38121;Trento
4;160;38122;Trento
16-gen;100;38121;Trento
16-feb;100;38121;Trento
16-mar;100;38121;Trento
18;100;38121;Trento
18-gen;100;38121;Trento
19;100;38121;Trento
20;100;38121;Trento
21;100;38121;Trento
22;100;38121;Trento
23;100;38121;Trento
24;100;38121;Trento
25;100;38121;Trento
26;100;38121;Trento
26;100;38121;Trento
26;100;38121;Trento
26;100;38121;Trento
26;100;38121;Trento
27;100;38121;Trento
28;100;38121;Trento
29;100;38121;Trento
31;100;38121;Trento
1;110;38122;Trento
1;110;38122;Trento
2;110;38122;Trento
2;110;38122;Trento
3;110;38122;Trento
3;110;38122;Trento
4;110;38122;Trento
4;110;38122;Trento
6;110;38122;Trento
6;110;38122;Trento
6;110;38122;Trento
10;110;38122;Trento
1;120;38122;Trento
2;120;38122;Trento
3;120;38122;Trento
3;120;38122;Trento
4;120;38122;Trento
5;120;38122;Trento
6;120;38122;Trento
7;120;38122;Trento
7;120;38122;Trento
8;120;38122;Trento
10;120;38122;Trento
12;120;38122;Trento
14;120;38122;Trento
16;120;38122;Trento
18;120;38122;Trento
