id;tipologia;n_posti;anno;tot_bici;codice_via;civico;edificio;;;;
99;Metallo 4 posti;4;2023;8;300;24;;;;;
52;Verona 90;6;2022;6;1600;6;;;;;
55;Verona 90;6;2022;12;880;32;BIBLIOTECA GIOVANILE;;;;
53;Archetto;2;2022;10;1350;;;;;;
201;Arco;6;2023;6;4089;;;;;;
337;4 posti doppia;8;2023;24;2990;7;;;;;
211;Verona 90;6;2022;6;2230;;;;;;
19;4 posti con gancio;4;2022;4;1200;6;;;;;
35;Metallo 4 posti;4;2022;52;3440;26;FACOLTA' SOCIOLOGIA;;;;
36;Metallo 4 posti;4;2022;36;3440;26;FACOLTA' SOCIOLOGIA;;;;
162;Con gancio 7 posti;7;2022;14;3842;3;BUC;;;;
163;Con gancio 5 posti;5;2022;10;3842;3;BUC;;;;
38;Metallo 4 posti;4;2022;8;3710;4;;;;;
2;Metallo 4 posti;4;2022;8;3300;24;BIBLIOTECA;;;;
40;Metallo 4 posti;4;2022;4;2990;4;;;;;
46;Metallo 4 posti;4;2022;4;1130;6;;;;;
47;Metallo 4 posti;4;2022;4;1130;5;;;;;
48;Metallo 4 posti;4;2022;4;1130;3;;;;;
80;Verona 90;6;2022;18;2820;86;"SCUOLA PRIMARIA ""R. SANZIO""";;;;
446;Bronzetti 5 posti;5;2024;5;2080;22;"SCUOLA PRIMARIA ""O. WINKLER""";;;;
212;Androna;4;2023;12;3720;160;;;;;
226;Androna;4;2023;16;3720;150;;;;;
172;Archetto;2;2023;10;1930;1;"PIAZZALE ""MONTE BALDO""";;;;
137;Verona 90;6;2022;12;1920;36;"OSPEDALE ""S. CAMILLO""";;;;
171;Archetto;2;2023;10;1930;1;"PIAZZALE ""MONTE BALDO""";;;;
173;Archetto;2;2023;10;1930;1;"PIAZZALE ""MONTE BALDO""";;;;
10;Verona 90;6;2022;6;230;1;;;;;
338;Metallo 4 posti;4;2023;4;1690;;;;;;
340;Metallo 5 posti;5;2023;5;1690;;;;;;
341;Metallo 4 posti;4;2023;12;1690;;;;;;
125;Arco;10;2023;10;3842;7;;;;;
155;Arco;10;2023;10;3842;7;;;;;
159;Arco;10;2023;10;3842;7;;;;;
122;Con gancio 5 posti;5;2023;5;3842;7;;;;;
223;Androna;5;2022;5;5400;;;;;;
6;Verona 90;6;2022;12;240;3;UFFICI COMUNALI PALAZZO THUN;;;;
17;Metallo 4 posti;4;2022;4;2860;45;;;;;
224;Androna;5;2022;5;5904;;;;;;
488;Archetto;2;2024;6;4056;;;;;;
502;Spirale;5;2025;5;3640;18;SCUOLA INFANZIA;;;;
339;Metallo 3 posti;3;2023;6;1690;;;;;;
225;Androna;5;2022;5;5904;;;;;;
202;4 posti doppia;8;2022;8;1010;;"PIAZZALE ""ZUFFO""";;;;
