codiceVia;nomeVia;isSensoUnico;nome_strada
900;VIA A. DEGASPERI;0;
740;VIA DELLA CERVARA;0;
6260;VIA MISSIONI AFRICANE;0;
8037;VIA DEL PRAOL;0;
6412;PIAZZA NATALE TOMMASI;0;
8770;VIA MARGONE;0;
8911;VIA DEI POMARI;0;
770;VIA E. CHINI;0;
160;VIA AOSTA;0;
160;VIA AOSTA;0;
330;VIA BOLGHERA;0;
340;VIALE N. BOLOGNINI;0;
8001;VIA DELLA BELINA;0;
8750;VIA DELLA CROCE;0;
1700;VIA G. MANCI;1;
2490;VIA A. POZZO;1;
2990;PIAZZA S. MARIA MAGGIORE;1;
1125;VIA G. BARTALI;0;
2180;VIA P. OSS MAZZURANA;1;
900;VIA A. DEGASPERI;1;
130;PIAZZETTA ANFITEATRO;0;
8413;VIA PER CORTESANO;0;
2810;VICOLO SAN MARCO;1;
8497;VIA AL PONTAT;0;
3502;VIA DEI GIARDINI;0;
670;VIA DELLE CAVE;0;
6290;VIA DEGLI OLIVI;1;
7515;VIA ALLE VOLPARE;0;
2460;VIA DELLA PONTARA;1;
7263;VIA DEL NESPOLAR;0;
1355;VIA H. GMEINER;0;
7340;LOCALITA' PASSO CIMIRLO;0;
8139;VIA GIUSEPPE A. SLOP;0;
7080;VIA GALASSA;0;
8486;VIA DEI FRAGARI;0;
8503;VIA DEL CESURET;1;
2430;VIA DI PIETRASTRETTA;0;
7010;VIA ASIAGO;0;
8510;VIA DEL PRA DE L'AGNELA;0;
8521;SALITA AI SPIAZZI;0;
8421;VIA SANTI PIETRO E PAOLO;0;
1470;VIA DELLE LASTE;0;
6470;VIA PER L'OSSERVATORIO;0;
7210;VIA TORRICELLE;0;
8482;VIA DELLA FORNACE;0;
8466;VICOLO DELLA ROGGIA;0;
6450;STRADA DI MONTEVACCINO;0;
5790;VIA NOCE;0;
5790;VIA NOCE;0;
2495;VIA A. PRANZELORES;0;
3490;P.ZZA ALESSANDRO VITTORIA;1;
2430;VIA DI PIETRASTRETTA;0;
7315;VIA MADONNINA;0;
1400;VIA DON GIUSEPPE GRAZIOLI;1;
2470;LARGO PORTA NUOVA;1;
0;;1;SS 47 della Valsugana
6428;VIA PER VILLAMONTAGNA;0;
8940;VIA DI SANTA BRIGIDA;0;
8415;VIA CASTEL DI CORTESANO;0;
1400;VIA DON GIUSEPPE GRAZIOLI;1;
8415;VIA CASTEL DI CORTESANO;0;
6400;VIA ALLA VEDUTA;0;
0;;1;SS 47 della Valsugana
7115;VIA DELLA ZIVERANA;0;
6470;VIA PER L'OSSERVATORIO;0;
8525;STRADA DELLA FACHINA;0;
5790;VIA NOCE;0;
6190;VIA GREZONI;0;
8462;VIA DELLA GUERRA RUSTICA;0;
8653;STRADA DI VANEZE;0;SP 85 del Monte Bondone
8053;STRADA DI VASON;0;SP 85 del Monte Bondone
8480;VIA AL CANON;0;
8504;VIA DEI CIGOI;0;
8414;VIA DEL PORFIDO;0;SP 76 Gardolo-Lases
6180;VIA ALLE GEMELLE;0;
6310;VIA PONTE ALTO;0;
8475;VIA DEL CAMANTOLIN;0;
8045;VIA DEI SEGATI;0;
7984;VIA DELLE REGOLE;0;
3350;CORSO 3 NOVEMBRE;0;
2900;VIA R. DA SANSEVERINO;0;
2280;VIA PASUBIO;1;
3550;VIA ZARA;0;
7460;VIA DON TOMMASO DALLAFIOR;1;
8803;VIA STELLA;0;SP 90 Destra Adige
400;VIA DEL BRENNERO;0;
5102;VIA ALTO ADIGE;0;
1280;VIA A. GAZZOLETTI;1;
5260;VIA PALUDI;0;
8464;VIA M. PEDERZOLLI;0;
8464;VIA M. PEDERZOLLI;0;
2820;VIA SAN MARTINO;1;
2820;VIA SAN MARTINO;1;
210;VIA F. BARBACOVI;1;
3550;VIA ZARA;1;
3502;VIA DEI GIARDINI;0;
3550;VIA ZARA;1;
3550;VIA ZARA;1;
1870;VIA C. MENGUZZATO;0;
6200;VIA B. KOFLER;0;
0;;1;SP 90 Destra Adige
3350;CORSO 3 NOVEMBRE;0;
1890;VIA MILANO;0;
1350;VIA G. GIUSTI;1;
8013;VIA DEL DOSSOL;0;
8535;VIA DON GIACOMO TRENTINI;0;
8534;VIA DELLE SUGARINE;0;
700;PIAZZA DI CENTA;1;
8414;VIA DEL PORFIDO;0;SP 76 Gardolo-Lases
8860;VIA VALEMBRAR;0;
8501;STRADA DELLA CA COMUNA;0;
7820;VIA DELLA ROZOLA;0;
8770;VIA MARGONE;0;
5070;VIA BOLZANO;1;
